4578	0	NA	NA
25901	10255	Variola virus	no rank
21435	10298	Human alphaherpesvirus 1	no rank
431	10407	Hepatitis B virus	no rank
633	10632	JC polyomavirus	no rank
2	10679	Peduovirus P2	species
801	10798	Human parvovirus B19	no rank
7	10868	Escherichia phage If1	no rank
1	1236395	Betapolyomavirus cercopitheci	species
9	1236400	Pan troglodytes troglodytes polyomavirus 1	species
3	1286214	Yellow baboon polyomavirus 2	no rank
3	140410	Peduovirus	genus
94	1634488	Mongoose feces-associated gemycircularvirus c	no rank
9	1649240	Escherichia phage pro483	no rank
93	1673681	Gemycircularvirus C1c	no rank
7	1762023	Pan troglodytes verus polyomavirus 8	no rank
4	1891714	Betapolyomavirus	genus
5	1891758	Betapolyomavirus secuchlopygerythrus	species
2	1891762	Betapolyomavirus hominis	species
10	1912759	Equus caballus papillomavirus 8	serotype
140	2004486	Bovine associated gemykibivirus 1	no rank
1	2049933	Pomona bat hepatitis B virus	no rank
141	2057942	Pleurochrysis carterae circular virus	species
10	2163996	Capuchin monkey hepatitis B virus	no rank
50	2576222	Bat gemycircularvirus	no rank
1	2584398	Plant associated genomovirus 4	no rank
6	2681594	Escherichia phage P2	no rank
1	2736202	Yersinia phage vB_YpM_50	no rank
17	2786389	ssRNA phage SRR5466337_3	no rank
34	2786405	ssRNA phage SRR5466369_2	no rank
2	2844218	Peduovirus P22H4	species
2	2844222	Peduovirus P24E6b	species
47	2844583	Gemykibivirus humas3	species
3	2939039	Salmonella phage STYP1	no rank
22499	32604	Human betaherpesvirus 6B	no rank
4	46771	Simian virus 12	species
113127	511145	Escherichia coli str. K-12 substr. MG1655	no rank
3	562	Escherichia coli	species
6	68416	Woolly monkey hepatitis B virus	no rank
35	72197	Human erythrovirus V9	species
3751	9606	Homo sapiens	species
