85.430	10798	Human parvovirus B19	no rank
86.626	32604	Human betaherpesvirus 6B	no rank
32.317	511145	Escherichia coli str. K-12 substr. MG1655	no rank
9.492	1891762	Betapolyomavirus hominis	species
86.044	10255	Variola virus	no rank
87.617	10632	JC polyomavirus	no rank
87.088	10298	Human alphaherpesvirus 1	no rank
13.361	68416	Woolly monkey hepatitis B virus	no rank
86.296	10407	Hepatitis B virus	no rank
29.200	72197	Human erythrovirus V9	species
94.160	9606	Homo sapiens	species
9.626	1286214	Yellow baboon polyomavirus 2	no rank
11.167	1236400	Pan troglodytes troglodytes polyomavirus 1	species
9.480	1762023	Pan troglodytes verus polyomavirus 8	no rank
15.670	2163996	Capuchin monkey hepatitis B virus	no rank
