25681	1
271	9606
75738	10239
23309	10255
16975	10298
2	10404
29	10405
1	10406
369	10407
575	10632
704	10798
1	10814
1	10838
1	11036
1	11591
19683	32604
52	40121
1	92444
14	151341
1	335187
1	488317
8032	511145
1	556524
1	688699
1	743558
1	743578
1	977801
1	1235650
1	1568973
1	1568974
1	1619899
1	1728964
1	1758883
14	1891714
1	1937817
5100	1958907
1	2099852
150	2108359
6	2116197
2	2163996
1	2600345
29	2607629
1	2730618
239	2731360
4	2732588
1	2736661
1	2786051
1	2786320
1	2786621
1	2786715
1	2809160
1	2912606
1	3052496
1	3070833
