593777	0
148263	10255
61324	10298
3	10406
1851	10407
3472	10632
9	10679
3604	10798
69	10868
1	1109717
1	1236392
11	1236395
40	1236400
20	1286214
17	1379695
1	1394033
40	140410
1	1469906
8	1508710
4	1508711
1	1508712
1	1513278
3	1552409
49	1588764
3	1592099
1	1608105
146	1608141
1	1623688
268	1634488
103	1649240
211	1673681
15	1685756
2	1685758
19	1762023
22	1891714
33	1891758
1	1891761
17	1891762
2	1891767
19	1912759
1	1922386
1	1922613
14	1922766
10	1922797
2	1923752
1	1923758
10	1941236
3	1945560
55	1958907
3	1985415
411	2004486
102	2004966
2	2013564
1	2029660
3	2035845
9	2049933
1	2050037
523	2057942
1	2058093
2	2107574
55	2108359
55	2163996
1	2170538
1	2171394
1	2303487
1	2480175
11	2557875
1	2562808
457	2576222
45	2582937
18	2584398
94	2681594
4	2681630
1	2695302
4	2695850
9	2736202
2	2748204
1	2785995
195	2786389
387	2786405
7	2793719
1	2813288
4	2816848
22	2844218
14	2844222
9	2844543
149	2844583
1	2849741
4	2861008
1	2903266
32	2939039
2	2992578
1	3050297
5	3052762
2	31598
105270	32604
8	3432790
2	35269
1	35309
1	42182
36	46771
1354461	511145
40	562
1	629740
32	68416
1	69576
184	72197
4	859651
3	872291
1	889813
4	947842
5	947843
45146	9606
