63921	0
307729	10255
253124	10298
12	10406
5204	10407
8351	10632
12	10679
9313	10798
83	10868
27	1236395
109	1236400
54	1286214
4	1379695
52	140410
20	1508710
12	1508711
12	1552409
5	1588764
4	1634488
110	1649240
2	1673681
8	1685756
70	1762023
62	1891714
79	1891758
32	1891762
1	1891767
115	1912759
1327	1941236
275	2004486
3	2004966
19	2049933
6	2050037
1604	2057942
8	2058093
110	2163996
7	2303487
17	2557875
282	2576222
1	2582937
8	2584398
105	2681594
4	2681630
4	2695850
7	2736202
220	2786389
404	2786405
4	2793719
6	2816848
15	2844218
11	2844222
592	2844543
272	2844583
4	2861008
23	2939039
3	2992578
1325	3050297
1	3052762
1	3059976
1	309542
266661	32604
4	452475
86	46771
1344568	511145
52	562
81	68416
515	72197
6	859651
2	889813
8	947842
5	947843
44839	9606
